YEAR,STABBR,COUNTYCD,county_name,net_mig
2009,CA,06037,Los Angeles County,-84527
2010,CA,06037,Los Angeles County,-77278
2011,CA,06037,Los Angeles County,-115651
2012,CA,06037,Los Angeles County,-94192
2013,CA,06037,Los Angeles County,-96810
2014,CA,06037,Los Angeles County,-94291
2015,CA,06037,Los Angeles County,-89578
2016,CA,06037,Los Angeles County,-97423
2017,CA,06037,Los Angeles County,-105284
2018,CA,06037,Los Angeles County,-110579
2019,CA,06037,Los Angeles County,-114158
2009,CA,06073,San Diego County,18894
2010,CA,06073,San Diego County,32481
2011,CA,06073,San Diego County,-7441
2012,CA,06073,San Diego County,-12764
2013,CA,06073,San Diego County,-20319
2014,CA,06073,San Diego County,-23982
2015,CA,06073,San Diego County,-31595
2016,CA,06073,San Diego County,-32145
2017,CA,06073,San Diego County,-30172
2018,CA,06073,San Diego County,-28214
2019,CA,06073,San Diego County,-25808
2009,FL,12086,Miami-Dade County,-7244
2010,FL,12086,Miami-Dade County,-5052
2011,FL,12086,Miami-Dade County,-37118
2012,FL,12086,Miami-Dade County,-32058
2013,FL,12086,Miami-Dade County,-30431
2014,FL,12086,Miami-Dade County,-36458
2015,FL,12086,Miami-Dade County,-37105
2016,FL,12086,Miami-Dade County,-38757
2017,FL,12086,Miami-Dade County,-40965
2018,FL,12086,Miami-Dade County,-47345
2019,FL,12086,Miami-Dade County,-46259
2009,CO,08031,Denver County,-7456
2010,CO,08031,Denver County,-3800
2011,CO,08031,Denver County,-1400
2012,CO,08031,Denver County,3342
2013,CO,08031,Denver County,-71
2014,CO,08031,Denver County,2087
2015,CO,08031,Denver County,1537
2016,CO,08031,Denver County,-525
2017,CO,08031,Denver County,-1455
2018,CO,08031,Denver County,-143
2019,CO,08031,Denver County,-2790
2009,CA,06075,San Francisco County,-6718
2010,CA,06075,San Francisco County,-3435
2011,CA,06075,San Francisco County,-13191
2012,CA,06075,San Francisco County,-12012
2013,CA,06075,San Francisco County,-10949
2014,CA,06075,San Francisco County,-11451
2015,CA,06075,San Francisco County,-9245
2016,CA,06075,San Francisco County,-9787
2017,CA,06075,San Francisco County,-11883
2018,CA,06075,San Francisco County,-14014
2019,CA,06075,San Francisco County,-15816
2009,NY,36061,New York County,7834
2010,NY,36061,New York County,18741
2011,NY,36061,New York County,-4803
2012,NY,36061,New York County,-6036
2013,NY,36061,New York County,-7532
2014,NY,36061,New York County,-7923
2015,NY,36061,New York County,-15697
2016,NY,36061,New York County,-22747
2017,NY,36061,New York County,-21796
2018,NY,36061,New York County,-26123
2019,NY,36061,New York County,-28232
2009,NV,32003,Clark County,31218
2010,NV,32003,Clark County,27754
2011,NV,32003,Clark County,3162
2012,NV,32003,Clark County,4531
2013,NV,32003,Clark County,5098
2014,NV,32003,Clark County,8302
2015,NV,32003,Clark County,15030
2016,NV,32003,Clark County,19989
2017,NV,32003,Clark County,22368
2018,NV,32003,Clark County,23557
2019,NV,32003,Clark County,26470
2009,FL,12099,Palm Beach County,12831
2010,FL,12099,Palm Beach County,9796
2011,FL,12099,Palm Beach County,1542
2012,FL,12099,Palm Beach County,5553
2013,FL,12099,Palm Beach County,6710
2014,FL,12099,Palm Beach County,9854
2015,FL,12099,Palm Beach County,14730
2016,FL,12099,Palm Beach County,15467
2017,FL,12099,Palm Beach County,12504
2018,FL,12099,Palm Beach County,13727
2019,FL,12099,Palm Beach County,12488
2009,MO,29510,St. Louis city,-18887
2010,MO,29510,St. Louis city,-13128
2011,MO,29510,St. Louis city,-9310
2012,MO,29510,St. Louis city,-4945
2013,MO,29510,St. Louis city,-5817
2014,MO,29510,St. Louis city,-6659
2015,MO,29510,St. Louis city,-6467
2016,MO,29510,St. Louis city,-6584
2017,MO,29510,St. Louis city,-8367
2018,MO,29510,St. Louis city,-7852
2019,MO,29510,St. Louis city,-8926
2009,AZ,04013,Maricopa County,68086
2010,AZ,04013,Maricopa County,44753
2011,AZ,04013,Maricopa County,7781
2012,AZ,04013,Maricopa County,7707
2013,AZ,04013,Maricopa County,10192
2014,AZ,04013,Maricopa County,14317
2015,AZ,04013,Maricopa County,15130
2016,AZ,04013,Maricopa County,27349
2017,AZ,04013,Maricopa County,32265
2018,AZ,04013,Maricopa County,35638
2019,AZ,04013,Maricopa County,36483
2009,TN,47037,Davidson County,3155
2010,TN,47037,Davidson County,4963
2011,TN,47037,Davidson County,1059
2012,TN,47037,Davidson County,4570
2013,TN,47037,Davidson County,5449
2014,TN,47037,Davidson County,3403
2015,TN,47037,Davidson County,1755
2016,TN,47037,Davidson County,3366
2017,TN,47037,Davidson County,1413
2018,TN,47037,Davidson County,1001
2019,TN,47037,Davidson County,-1579
2009,WA,53033,King County,21298
2010,WA,53033,King County,21577
2011,WA,53033,King County,-3345
2012,WA,53033,King County,2016
2013,WA,53033,King County,2843
2014,WA,53033,King County,4738
2015,WA,53033,King County,5471
2016,WA,53033,King County,5932
2017,WA,53033,King County,458
2018,WA,53033,King County,-854
2019,WA,53033,King County,-4386
2009,TX,48015,Austin County,-538
2010,TX,48015,Austin County,-599
2011,TX,48015,Austin County,-46
2012,TX,48015,Austin County,-334
2013,TX,48015,Austin County,-125
2014,TX,48015,Austin County,232
2015,TX,48015,Austin County,487
2016,TX,48015,Austin County,405
2017,TX,48015,Austin County,451
2018,TX,48015,Austin County,-139
2019,TX,48015,Austin County,-361
2009,UT,49035,Salt Lake County,8020
2010,UT,49035,Salt Lake County,6946
2011,UT,49035,Salt Lake County,413
2012,UT,49035,Salt Lake County,-1088
2013,UT,49035,Salt Lake County,-1387
2014,UT,49035,Salt Lake County,-876
2015,UT,49035,Salt Lake County,1199
2016,UT,49035,Salt Lake County,443
2017,UT,49035,Salt Lake County,-1630
2018,UT,49035,Salt Lake County,-1198
2019,UT,49035,Salt Lake County,-119
2009,TX,48113,Dallas County,-10279
2010,TX,48113,Dallas County,-13046
2011,TX,48113,Dallas County,-27659
2012,TX,48113,Dallas County,-21768
2013,TX,48113,Dallas County,-24048
2014,TX,48113,Dallas County,-22369
2015,TX,48113,Dallas County,-18429
2016,TX,48113,Dallas County,-17714
2017,TX,48113,Dallas County,-18877
2018,TX,48113,Dallas County,-19661
2019,TX,48113,Dallas County,-23471
2009,VA,51059,Fairfax County,14803
2010,VA,51059,Fairfax County,14575
2011,VA,51059,Fairfax County,-1938
2012,VA,51059,Fairfax County,-4088
2013,VA,51059,Fairfax County,-7708
2014,VA,51059,Fairfax County,-10427
2015,VA,51059,Fairfax County,-11686
2016,VA,51059,Fairfax County,-13567
2017,VA,51059,Fairfax County,-14501
2018,VA,51059,Fairfax County,-13980
2019,VA,51059,Fairfax County,-14988
2009,TX,48453,Travis County,21247
2010,TX,48453,Travis County,24196
2011,TX,48453,Travis County,15212
2012,TX,48453,Travis County,11923
2013,TX,48453,Travis County,11150
2014,TX,48453,Travis County,8587
2015,TX,48453,Travis County,3781
2016,TX,48453,Travis County,-3036
2017,TX,48453,Travis County,-3328
2018,TX,48453,Travis County,-219
2019,TX,48453,Travis County,-392
2009,OR,41051,Multnomah County,747
2010,OR,41051,Multnomah County,4996
2011,OR,41051,Multnomah County,2409
2012,OR,41051,Multnomah County,3850
2013,OR,41051,Multnomah County,4794
2014,OR,41051,Multnomah County,5790
2015,OR,41051,Multnomah County,3142
2016,OR,41051,Multnomah County,86
2017,OR,41051,Multnomah County,187
2018,OR,41051,Multnomah County,-2819
2019,OR,41051,Multnomah County,-1184
2009,MI,26163,Wayne County,-36988
2010,MI,26163,Wayne County,-38361
2011,MI,26163,Wayne County,-45442
2012,MI,26163,Wayne County,-41661
2013,MI,26163,Wayne County,-36715
2014,MI,26163,Wayne County,-33736
2015,MI,26163,Wayne County,-32862
2016,MI,26163,Wayne County,-26638
2017,MI,26163,Wayne County,-21451
2018,MI,26163,Wayne County,-16486
2019,MI,26163,Wayne County,-14586
2009,CA,06059,Orange County,232
2010,CA,06059,Orange County,4737
2011,CA,06059,Orange County,-17475
2012,CA,06059,Orange County,-11260
2013,CA,06059,Orange County,-5883
2014,CA,06059,Orange County,-8152
2015,CA,06059,Orange County,-10954
2016,CA,06059,Orange County,-10998
2017,CA,06059,Orange County,-13954
2018,CA,06059,Orange County,-18311
2019,CA,06059,Orange County,-19583
2009,MI,26115,Monroe County,-1753
2010,MI,26115,Monroe County,-1610
2011,MI,26115,Monroe County,-1436
2012,MI,26115,Monroe County,-1423
2013,MI,26115,Monroe County,-1906
2014,MI,26115,Monroe County,-773
2015,MI,26115,Monroe County,-114
2016,MI,26115,Monroe County,-527
2017,MI,26115,Monroe County,-284
2018,MI,26115,Monroe County,-132
2019,MI,26115,Monroe County,-1116
2009,VA,51810,Virginia Beach city,3618
2010,VA,51810,Virginia Beach city,4183
2011,VA,51810,Virginia Beach city,-821
2012,VA,51810,Virginia Beach city,-2126
2013,VA,51810,Virginia Beach city,-5076
2014,VA,51810,Virginia Beach city,-3235
2015,VA,51810,Virginia Beach city,-324
2016,VA,51810,Virginia Beach city,-314
2017,VA,51810,Virginia Beach city,-288
2018,VA,51810,Virginia Beach city,750
2019,VA,51810,Virginia Beach city,-2730
2009,SC,45045,Greenville County,7425
2010,SC,45045,Greenville County,6933
2011,SC,45045,Greenville County,5371
2012,SC,45045,Greenville County,3842
2013,SC,45045,Greenville County,4571
2014,SC,45045,Greenville County,2810
2015,SC,45045,Greenville County,1339
2016,SC,45045,Greenville County,-344
2017,SC,45045,Greenville County,464
2018,SC,45045,Greenville County,1230
2019,SC,45045,Greenville County,2176
2009,IL,17031,Cook County,-55457
2010,IL,17031,Cook County,-51763
2011,IL,17031,Cook County,-72004
2012,IL,17031,Cook County,-61738
2013,IL,17031,Cook County,-59129
2014,IL,17031,Cook County,-61536
2015,IL,17031,Cook County,-63112
2016,IL,17031,Cook County,-75376
2017,IL,17031,Cook County,-83611
2018,IL,17031,Cook County,-84593
2019,IL,17031,Cook County,-87102
2009,TN,47157,Shelby County,-2527
2010,TN,47157,Shelby County,-2954
2011,TN,47157,Shelby County,-5638
2012,TN,47157,Shelby County,-4558
2013,TN,47157,Shelby County,-5448
2014,TN,47157,Shelby County,-4798
2015,TN,47157,Shelby County,-4123
2016,TN,47157,Shelby County,-7067
2017,TN,47157,Shelby County,-6511
2018,TN,47157,Shelby County,-6907
2019,TN,47157,Shelby County,-6765
2009,FL,12011,Broward County,12733
2010,FL,12011,Broward County,8021
2011,FL,12011,Broward County,-4179
2012,FL,12011,Broward County,3844
2013,FL,12011,Broward County,6082
2014,FL,12011,Broward County,7472
2015,FL,12011,Broward County,4688
2016,FL,12011,Broward County,3049
2017,FL,12011,Broward County,-299
2018,FL,12011,Broward County,-5296
2019,FL,12011,Broward County,-8764
2009,NC,37119,Mecklenburg County,22654
2010,NC,37119,Mecklenburg County,21014
2011,NC,37119,Mecklenburg County,11833
2012,NC,37119,Mecklenburg County,8676
2013,NC,37119,Mecklenburg County,8652
2014,NC,37119,Mecklenburg County,10242
2015,NC,37119,Mecklenburg County,11133
2016,NC,37119,Mecklenburg County,9444
2017,NC,37119,Mecklenburg County,8402
2018,NC,37119,Mecklenburg County,6908
2019,NC,37119,Mecklenburg County,1877
2009,KS,20091,Johnson County,4126
2010,KS,20091,Johnson County,4339
2011,KS,20091,Johnson County,575
2012,KS,20091,Johnson County,69
2013,KS,20091,Johnson County,110
2014,KS,20091,Johnson County,611
2015,KS,20091,Johnson County,1597
2016,KS,20091,Johnson County,1785
2017,KS,20091,Johnson County,2880
2018,KS,20091,Johnson County,2675
2019,KS,20091,Johnson County,1833
2009,FL,12071,Lee County,16296
2010,FL,12071,Lee County,15979
2011,FL,12071,Lee County,10764
2012,FL,12071,Lee County,13343
2013,FL,12071,Lee County,13290
2014,FL,12071,Lee County,14762
2015,FL,12071,Lee County,14633
2016,FL,12071,Lee County,14859
2017,FL,12071,Lee County,11593
2018,FL,12071,Lee County,11872
2019,FL,12071,Lee County,13996
2009,TN,47093,Knox County,3169
2010,TN,47093,Knox County,1288
2011,TN,47093,Knox County,-350
2012,TN,47093,Knox County,-320
2013,TN,47093,Knox County,-739
2014,TN,47093,Knox County,1390
2015,TN,47093,Knox County,3385
2016,TN,47093,Knox County,3409
2017,TN,47093,Knox County,4379
2018,TN,47093,Knox County,4490
2019,TN,47093,Knox County,6309
2009,VA,51630,Fredericksburg city,-1227
2010,VA,51630,Fredericksburg city,-816
2011,VA,51630,Fredericksburg city,306
2012,VA,51630,Fredericksburg city,1314
2013,VA,51630,Fredericksburg city,2337
2014,VA,51630,Fredericksburg city,2405
2015,VA,51630,Fredericksburg city,2106
2016,VA,51630,Fredericksburg city,1177
2017,VA,51630,Fredericksburg city,581
2018,VA,51630,Fredericksburg city,324
2019,VA,51630,Fredericksburg city,745
2009,FL,12095,Orange County,-501
2010,FL,12095,Orange County,5507
2011,FL,12095,Orange County,-8613
2012,FL,12095,Orange County,1148
2013,FL,12095,Orange County,7347
2014,FL,12095,Orange County,11901
2015,FL,12095,Orange County,11286
2016,FL,12095,Orange County,12245
2017,FL,12095,Orange County,14087
2018,FL,12095,Orange County,13750
2019,FL,12095,Orange County,9989
2009,FL,12057,Hillsborough County,4378
2010,FL,12057,Hillsborough County,1829
2011,FL,12057,Hillsborough County,-6607
2012,FL,12057,Hillsborough County,-2437
2013,FL,12057,Hillsborough County,-1166
2014,FL,12057,Hillsborough County,-363
2015,FL,12057,Hillsborough County,4615
2016,FL,12057,Hillsborough County,5523
2017,FL,12057,Hillsborough County,5019
2018,FL,12057,Hillsborough County,8186
2019,FL,12057,Hillsborough County,9027
2009,NC,37171,Surry County,-143
2010,NC,37171,Surry County,-158
2011,NC,37171,Surry County,-240
2012,NC,37171,Surry County,-504
2013,NC,37171,Surry County,-113
2014,NC,37171,Surry County,64
2015,NC,37171,Surry County,-475
2016,NC,37171,Surry County,-209
2017,NC,37171,Surry County,-251
2018,NC,37171,Surry County,-145
2019,NC,37171,Surry County,-11
2009,FL,12021,Collier County,1755
2010,FL,12021,Collier County,-20
2011,FL,12021,Collier County,-3641
2012,FL,12021,Collier County,60
2013,FL,12021,Collier County,2265
2014,FL,12021,Collier County,2980
2015,FL,12021,Collier County,3927
2016,FL,12021,Collier County,6114
2017,FL,12021,Collier County,6119
2018,FL,12021,Collier County,5546
2019,FL,12021,Collier County,6996
2009,TX,48029,Bexar County,21884
2010,TX,48029,Bexar County,24695
2011,TX,48029,Bexar County,14717
2012,TX,48029,Bexar County,15560
2013,TX,48029,Bexar County,12795
2014,TX,48029,Bexar County,9266
