"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	10	13921	Unreliable
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	15	13779	Unreliable
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	12413	Unreliable
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	14	121969	Unreliable
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	12	108346	Unreliable
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	20	115284	17.3
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	26	111732	23.3
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	23	116727	19.7
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	28	126406	22.2
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	25	113427	22.0
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	27	119416	22.6
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	40	113968	35.1
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	19	118663	Unreliable
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	18	114552	Unreliable
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	25	110501	22.6
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	18	120417	Unreliable
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	28	116236	24.1
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	35	122395	28.6
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	31	113796	27.2
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	24	116743	20.6
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	39	113412	34.4
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	11	108859	Unreliable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	15	114814	Unreliable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	22	110272	20.0
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	17	112403	Unreliable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	36	110374	32.6
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	16	120237	Unreliable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	37	115561	32.0
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	32	118504	27.0
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	31	113025	27.4
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	30	113645	26.4
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	43	113489	37.9
	"Pima County, AZ"	"04019"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	12	25931	Unreliable
	"Pima County, AZ"	"04019"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	10	25422	Unreliable
	"Pima County, AZ"	"04019"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	11	32055	Unreliable
	"Pima County, AZ"	"04019"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	13	25249	Unreliable
	"Pima County, AZ"	"04019"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	25077	Unreliable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	11	32251	Unreliable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	13	28340	Unreliable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	13	25584	Unreliable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	16	25140	Unreliable
	"Alameda County, CA"	"06001"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	10	32358	Unreliable
	"Fresno County, CA"	"06019"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	11	22946	Unreliable
	"Kern County, CA"	"06029"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	10	24294	Unreliable
	"Kern County, CA"	"06029"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	10	23911	Unreliable
	"Kern County, CA"	"06029"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	10	21357	Unreliable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	14	273656	Unreliable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	10	254879	Unreliable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	19	266093	Unreliable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	28	255860	10.9
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	18	276935	Unreliable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	32	293406	10.9
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	29	268084	10.8
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	53	280887	18.9
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	59	270440	21.8
	"Los Angeles County, CA"	"06037"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	18	255014	Unreliable
	"Los Angeles County, CA"	"06037"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	23	262523	8.8
