"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	12	12189	Unreliable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	12	12705	Unreliable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	18	12300	Unreliable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	19	11617	Unreliable
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	17	12210	Unreliable
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	21	11579	181.4
	"Jefferson County, AL"	"01073"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	12	12409	Unreliable
	"Jefferson County, AL"	"01073"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	10	11375	Unreliable
	"Jefferson County, AL"	"01073"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	21	12361	169.9
	"Jefferson County, AL"	"01073"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	10	11570	Unreliable
	"Madison County, AL"	"01089"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	11	8988	Unreliable
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	18	113705	Unreliable
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	19	130351	Unreliable
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	20	119522	16.7
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	30	117987	25.4
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	29	113518	25.5
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Male"	"M"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	15	14052	Unreliable
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Male"	"M"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	10	10558	Unreliable
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	21	123346	17.0
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	56	119849	46.7
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	61	135156	45.1
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	61	124661	48.9
