Category: All categories

Month,dispensary: (California),Marijuana: (California),weed: (California),Pot: (California)
2004-01,0,20,10,24
2004-02,0,25,10,21
2004-03,0,23,13,23
2004-04,0,28,15,18
2004-05,<1,28,11,20
2004-06,<1,23,11,19
2004-07,<1,22,11,18
2004-08,<1,19,11,20
2004-09,<1,22,13,18
2004-10,<1,26,12,24
2004-11,0,29,11,24
2004-12,<1,24,12,25
2005-01,<1,23,13,25
2005-02,<1,25,13,22
2005-03,0,25,13,23
2005-04,<1,30,17,19
2005-05,<1,32,16,20
2005-06,<1,25,13,19
2005-07,<1,22,11,19
2005-08,<1,20,12,20
2005-09,<1,23,11,19
2005-10,<1,23,13,23
2005-11,0,27,13,26
2005-12,<1,25,13,26
2006-01,<1,23,13,26
2006-02,<1,24,13,25
2006-03,<1,24,14,23
2006-04,<1,25,16,21
2006-05,<1,28,15,20
2006-06,<1,22,15,19
2006-07,<1,20,12,19
2006-08,<1,22,14,20
2006-09,1,22,13,21
2006-10,1,24,13,23
2006-11,<1,26,14,24
2006-12,<1,23,11,26
2007-01,1,22,12,27
2007-02,<1,21,13,25
2007-03,<1,26,13,24
2007-04,<1,26,17,24
2007-05,<1,25,15,24
2007-06,<1,21,14,19
2007-07,<1,20,13,20
2007-08,1,20,13,19
2007-09,<1,21,13,22
2007-10,<1,22,14,25
2007-11,<1,22,14,26
2007-12,<1,20,13,28
2008-01,<1,20,13,30
2008-02,<1,21,13,25
2008-03,<1,21,16,23
2008-04,<1,24,19,23
2008-05,1,23,17,22
2008-06,<1,19,17,20
2008-07,1,19,16,19
2008-08,1,19,17,19
2008-09,<1,21,16,20
2008-10,1,20,15,24
2008-11,<1,21,17,26
2008-12,<1,19,17,29
2009-01,1,20,18,26
2009-02,1,28,22,31
2009-03,1,26,20,26
2009-04,1,26,22,23
2009-05,1,25,20,21
2009-06,1,21,20,18
2009-07,1,23,18,18
2009-08,1,22,19,20
2009-09,2,20,19,21
2009-10,1,26,19,26
2009-11,1,23,19,26
2009-12,1,20,19,28
2010-01,1,22,19,27
2010-02,1,21,20,26
2010-03,1,23,21,23
2010-04,1,25,25,22
2010-05,1,22,21,20
2010-06,2,21,20,19
2010-07,2,19,21,17
2010-08,1,17,19,18
2010-09,1,18,18,19
2010-10,1,23,21,22
2010-11,1,22,20,24
2010-12,1,17,19,23
2011-01,3,29,33,36
2011-02,3,29,32,33
2011-03,3,31,35,32
2011-04,4,32,43,30
2011-05,3,30,38,28
2011-06,4,30,38,26
2011-07,4,30,38,28
2011-08,3,28,38,28
2011-09,4,29,38,29
2011-10,4,34,37,35
2011-11,3,25,35,42
2011-12,3,25,40,42
2012-01,3,24,41,41
2012-02,3,24,39,36
2012-03,3,25,42,35
2012-04,3,27,50,29
2012-05,3,26,43,27
2012-06,3,25,41,25
2012-07,4,25,44,26
2012-08,3,24,42,26
2012-09,3,24,42,31
2012-10,3,24,41,40
2012-11,3,41,47,47
2012-12,3,23,43,49
2013-01,3,22,56,46
2013-02,3,22,42,41
2013-03,3,23,48,40
2013-04,3,24,51,32
2013-05,4,27,47,31
2013-06,4,23,46,28
2013-07,4,22,44,28
2013-08,4,23,43,32
2013-09,3,22,40,38
2013-10,3,21,41,43
2013-11,3,20,40,50
2013-12,3,21,41,51
2014-01,4,33,44,50
2014-02,4,26,43,44
2014-03,4,27,44,42
2014-04,4,26,48,36
2014-05,4,24,49,30
2014-06,4,23,43,28
2014-07,4,24,43,30
2014-08,4,23,41,30
2014-09,4,22,47,31
2014-10,3,23,40,38
2014-11,4,25,43,52
2014-12,4,21,41,52
2015-01,4,23,43,50
2015-02,4,23,43,43
2015-03,4,24,46,42
2015-04,4,25,50,38
2015-05,4,25,49,32
2015-06,4,23,45,28
2015-07,6,25,45,31
2015-08,5,23,43,32
2015-09,5,23,41,33
2015-10,4,23,43,40
2015-11,5,23,41,52
2015-12,5,22,42,54
2016-01,5,26,47,53
2016-02,6,26,49,45
2016-03,6,28,51,44
2016-04,7,30,57,41
2016-05,7,30,52,37
2016-06,7,26,49,33
2016-07,7,26,49,36
2016-08,6,26,50,37
2016-09,6,30,51,40
2016-10,6,31,51,46
2016-11,8,64,78,57
2016-12,7,33,56,58
2017-01,8,36,60,58
2017-02,8,34,59,52
2017-03,8,33,62,51
2017-04,9,34,69,44
2017-05,9,30,63,43
2017-06,10,32,64,38
2017-07,12,33,67,44
2017-08,11,31,60,44
2017-09,10,27,58,45
2017-10,9,27,56,51
2017-11,10,27,56,67
2017-12,11,31,58,82
2018-01,28,50,80,95
2018-02,16,30,62,70
2018-03,17,28,66,68
2018-04,18,30,73,57
2018-05,17,28,68,56
2018-06,20,30,67,50
2018-07,21,26,67,57
2018-08,21,26,63,57
2018-09,19,28,65,63
2018-10,17,26,62,67
2018-11,17,25,60,83
2018-12,18,22,63,96
2019-01,16,22,56,100
2019-02,17,21,62,80
2019-03,20,23,64,71
2019-04,19,23,72,62
2019-05,20,22,66,58
2019-06,22,23,66,54
2019-07,24,21,63,59
2019-08,23,22,61,57
2019-09,20,19,56,61
2019-10,18,19,56,66
2019-11,20,18,55,81
2019-12,19,16,55,95
2020-01,20,16,55,93
2020-02,20,16,59,74
2020-03,19,15,57,81
2020-04,15,17,72,87
2020-05,16,18,71,75
2020-06,21,17,63,66
2020-07,23,16,61,66
2020-08,23,16,58,64
2020-09,22,15,54,62
2020-10,20,15,54,66
2020-11,20,15,54,86
2020-12,21,15,55,92
2021-01,20,14,56,84
2021-02,20,15,59,74
2021-03,25,15,63,70
2021-04,29,16,71,61
2021-05,28,16,64,54
2021-06,29,16,60,52
2021-07,31,16,66,52
2021-08,29,14,59,55
2021-09,26,14,56,56
2021-10,25,14,56,62
2021-11,25,13,55,70
2021-12,27,12,53,73
2022-01,25,12,57,72
2022-02,23,13,58,61
2022-03,25,12,59,61
