Category: All categories

Month,dispensary: (California)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,<1
2004-06,1
2004-07,1
2004-08,1
2004-09,<1
2004-10,<1
2004-11,0
2004-12,1
2005-01,1
2005-02,<1
2005-03,0
2005-04,<1
2005-05,1
2005-06,1
2005-07,<1
2005-08,1
2005-09,1
2005-10,1
2005-11,0
2005-12,1
2006-01,1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,2
2006-10,2
2006-11,1
2006-12,1
2007-01,2
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,2
2007-08,2
2007-09,2
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,2
2008-05,2
2008-06,2
2008-07,2
2008-08,2
2008-09,1
2008-10,2
2008-11,2
2008-12,2
2009-01,2
2009-02,2
2009-03,3
2009-04,4
2009-05,4
2009-06,3
2009-07,4
2009-08,5
2009-09,5
2009-10,4
2009-11,4
2009-12,3
2010-01,5
2010-02,4
2010-03,4
2010-04,4
2010-05,4
2010-06,6
2010-07,5
2010-08,4
2010-09,4
2010-10,4
2010-11,4
2010-12,4
2011-01,9
2011-02,10
2011-03,10
2011-04,12
2011-05,11
2011-06,12
2011-07,12
2011-08,11
2011-09,11
2011-10,12
2011-11,9
2011-12,9
2012-01,9
2012-02,10
2012-03,10
2012-04,10
2012-05,10
2012-06,10
2012-07,13
2012-08,11
2012-09,10
2012-10,11
2012-11,11
2012-12,11
2013-01,9
2013-02,10
2013-03,11
2013-04,11
2013-05,13
2013-06,12
2013-07,12
2013-08,12
2013-09,10
2013-10,9
2013-11,11
2013-12,10
2014-01,12
2014-02,13
2014-03,13
2014-04,12
2014-05,12
2014-06,12
2014-07,12
2014-08,12
2014-09,12
2014-10,10
2014-11,12
2014-12,12
2015-01,11
2015-02,12
2015-03,12
2015-04,13
2015-05,13
2015-06,14
2015-07,18
2015-08,17
2015-09,17
2015-10,14
2015-11,15
2015-12,16
2016-01,17
2016-02,19
2016-03,20
2016-04,22
2016-05,21
2016-06,21
2016-07,23
2016-08,21
2016-09,21
2016-10,20
2016-11,26
2016-12,24
2017-01,25
2017-02,26
2017-03,28
2017-04,30
2017-05,29
2017-06,31
2017-07,39
2017-08,36
2017-09,33
2017-10,31
2017-11,31
2017-12,36
2018-01,91
2018-02,53
2018-03,55
2018-04,58
2018-05,57
2018-06,64
2018-07,68
2018-08,68
2018-09,63
2018-10,55
2018-11,56
2018-12,59
2019-01,53
2019-02,54
2019-03,64
2019-04,62
2019-05,64
2019-06,72
2019-07,78
2019-08,76
2019-09,65
2019-10,59
2019-11,64
2019-12,60
2020-01,65
2020-02,65
2020-03,62
2020-04,49
2020-05,53
2020-06,68
2020-07,76
2020-08,73
2020-09,73
2020-10,67
2020-11,66
2020-12,67
2021-01,65
2021-02,64
2021-03,82
2021-04,93
2021-05,91
2021-06,95
2021-07,100
2021-08,93
2021-09,85
2021-10,83
2021-11,80
2021-12,88
2022-01,81
2022-02,74
2022-03,81
