Jurisdictions,Year,url
Alabama,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Alabama.html
Alaska,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Alaska.html
Arizona,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Arizona.html
Arkansas,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Arkansas.html
California,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/California.html
Colorado,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Colorado.html
Connecticut,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Connecticut.html
Delaware,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Delaware.html
District of Columbia,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/District of Columbia.html
Florida,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Florida.html
Georgia,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Georgia.html
Hawaii,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Hawaii.html
Idaho,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Idaho.html
Illinois,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Illinois.html
Indiana,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Indiana.html
Iowa,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Iowa.html
Kansas,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Kansas.html
Kentucky,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Kentucky.html
Louisiana,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Louisiana.html
Maine,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Maine.html
Maryland,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Maryland.html
Massachusetts,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Massachusetts.html
Michigan,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Michigan.html
Minnesota,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Minnesota.html
Mississippi,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Mississippi.html
Missouri,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Missouri.html
Montana,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Montana.html
Nebraska,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Nebraska.html
Nevada,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Nevada.html
New Hampshire,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/New Hampshire.html
New Jersey,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/New Jersey.html
New Mexico,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/New Mexico.html
New York,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/New York.html
North Carolina,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/North Carolina.html
North Dakota,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/North Dakota.html
Ohio,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Ohio.html
Oklahoma,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Oklahoma.html
Oregon,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Oregon.html
Pennsylvania,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Pennsylvania.html
Puerto Rico,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Puerto Rico.html
Rhode Island,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Rhode Island.html
South Carolina,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/South Carolina.html
South Dakota,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/South Dakota.html
Tennessee,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Tennessee.html
Texas,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Texas.html
Utah,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Utah.html
Vermont,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Vermont.html
Virginia,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Virginia.html
Washington,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Washington.html
West Virginia,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/West Virginia.html
Wisconsin,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Wisconsin.html
Wyoming,2010,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United States/Wyoming.html
Alabama,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Alabama.html
Alaska,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Alaska.html
Arizona,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Arizona.html
Arkansas,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Arkansas.html
California,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/California.html
Colorado,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Colorado.html
Connecticut,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Connecticut.html
Delaware,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Delaware.html
District of Columbia,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/District of Columbia.html
Florida,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Florida.html
Georgia,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Georgia.html
Hawaii,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Hawaii.html
Idaho,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Idaho.html
Illinois,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Illinois.html
Indiana,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Indiana.html
Iowa,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Iowa.html
Kansas,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Kansas.html
Kentucky,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Kentucky.html
Louisiana,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Louisiana.html
Maine,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Maine.html
Maryland,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Maryland.html
Massachusetts,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Massachusetts.html
Michigan,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Michigan.html
Minnesota,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Minnesota.html
Mississippi,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Mississippi.html
Missouri,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Missouri.html
Montana,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Montana.html
Nebraska,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Nebraska.html
Nevada,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Nevada.html
New Hampshire,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/New Hampshire.html
New Jersey,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/New Jersey.html
New Mexico,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/New Mexico.html
New York,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/New York.html
North Carolina,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/North Carolina.html
North Dakota,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/North Dakota.html
Ohio,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Ohio.html
Oklahoma,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Oklahoma.html
Oregon,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Oregon.html
Pennsylvania,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Pennsylvania.html
Puerto Rico,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Puerto Rico.html
Rhode Island,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Rhode Island.html
South Carolina,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/South Carolina.html
South Dakota,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/South Dakota.html
Tennessee,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Tennessee.html
Texas,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Texas.html
Utah,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Utah.html
Vermont,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Vermont.html
Virginia,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Virginia.html
Washington,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/Washington.html
West Virginia,2011,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United States/West Virginia.html
