quality_type,price,url,Year,Jurisdictions,measure_unit
High Quality,447,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Alabama.html,2010,Alabama,Average ($/Oz.)*
Medium Quality,161.43,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Alabama.html,2010,Alabama,Average ($/Oz.)*
High Quality,290,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Alaska.html,2010,Alaska,Average ($/Oz.)*
Medium Quality,142.5,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Alaska.html,2010,Alaska,Average ($/Oz.)*
High Quality,381.4,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Arizona.html,2010,Arizona,Average ($/Oz.)*
Medium Quality,258.74,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Arizona.html,2010,Arizona,Average ($/Oz.)*
High Quality,444.36,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Arkansas.html,2010,Arkansas,Average ($/Oz.)*
Medium Quality,108.75,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Arkansas.html,2010,Arkansas,Average ($/Oz.)*
High Quality,355.11,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/California.html,2010,California,Average ($/Oz.)*
Medium Quality,290.88,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/California.html,2010,California,Average ($/Oz.)*
High Quality,321.23,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Colorado.html,2010,Colorado,Average ($/Oz.)*
Medium Quality,355,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Colorado.html,2010,Colorado,Average ($/Oz.)*
High Quality,436.26,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Connecticut.html,2010,Connecticut,Average ($/Oz.)*
Medium Quality,364.32,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Connecticut.html,2010,Connecticut,Average ($/Oz.)*
High Quality,457.84,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Delaware.html,2010,Delaware,Average ($/Oz.)*
Medium Quality,135,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Delaware.html,2010,Delaware,Average ($/Oz.)*
High Quality,490.44,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/District%20of%20Columbia.html,2010,District of Columbia,Average ($/Oz.)*
Medium Quality,503.23,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/District%20of%20Columbia.html,2010,District of Columbia,Average ($/Oz.)*
High Quality,379.9,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Florida.html,2010,Florida,Average ($/Oz.)*
Medium Quality,200.58,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Florida.html,2010,Florida,Average ($/Oz.)*
High Quality,457.45,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Georgia.html,2010,Georgia,Average ($/Oz.)*
Medium Quality,187.46,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Georgia.html,2010,Georgia,Average ($/Oz.)*
High Quality,371.67,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Hawaii.html,2010,Hawaii,Average ($/Oz.)*
Medium Quality,120,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Hawaii.html,2010,Hawaii,Average ($/Oz.)*
High Quality,326.25,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Idaho.html,2010,Idaho,Average ($/Oz.)*
Medium Quality,341.67,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Idaho.html,2010,Idaho,Average ($/Oz.)*
High Quality,447.69,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Illinois.html,2010,Illinois,Average ($/Oz.)*
Medium Quality,404.19,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Illinois.html,2010,Illinois,Average ($/Oz.)*
High Quality,407.66,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Indiana.html,2010,Indiana,Average ($/Oz.)*
Medium Quality,139.55,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Indiana.html,2010,Indiana,Average ($/Oz.)*
High Quality,465,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Iowa.html,2010,Iowa,Average ($/Oz.)*
Medium Quality,309,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Iowa.html,2010,Iowa,Average ($/Oz.)*
High Quality,419.5,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Kansas.html,2010,Kansas,Average ($/Oz.)*
Medium Quality,88.33,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Kansas.html,2010,Kansas,Average ($/Oz.)*
High Quality,456.67,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Kentucky.html,2010,Kentucky,Average ($/Oz.)*
Medium Quality,177.22,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Kentucky.html,2010,Kentucky,Average ($/Oz.)*
High Quality,463,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Louisiana.html,2010,Louisiana,Average ($/Oz.)*
Medium Quality,341.82,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Louisiana.html,2010,Louisiana,Average ($/Oz.)*
High Quality,411.25,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Maine.html,2010,Maine,Average ($/Oz.)*
Medium Quality,256.67,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Maine.html,2010,Maine,Average ($/Oz.)*
High Quality,434,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Maryland.html,2010,Maryland,Average ($/Oz.)*
Medium Quality,233.38,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Maryland.html,2010,Maryland,Average ($/Oz.)*
High Quality,441.64,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Massachusetts.html,2010,Massachusetts,Average ($/Oz.)*
Medium Quality,339.46,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Massachusetts.html,2010,Massachusetts,Average ($/Oz.)*
