unitid,instnm,stabbr,st_fips,zip,latitude,longitude,ugds,adm_rate,year
206817,Bacone College,OK,40,74403-1597,35.777082,-95.334046,271,0.1524,2018
206835,Oklahoma Wesleyan University,OK,40,74006-6299,36.717453,-95.95671,905,0.6773,2018
206862,Southern Nazarene University,OK,40,73008,35.513295,-97.629504,1563,NA,2018
206905,Pontotoc Technology Center,OK,40,74820,34.7484,-96.683815,98,NA,2018
206914,Cameron University,OK,40,73505-6377,34.606487,-98.434163,3623,NA,2018
206923,Carl Albert State College,OK,40,74953-5208,35.039173,-94.633986,1547,NA,2018
206932,Central Oklahoma College,OK,40,73134,35.621488,-97.560235,247,NA,2018
206941,University of Central Oklahoma,OK,40,73034,35.6552,-97.471508,13118,0.7822,2018
206996,Connors State College,OK,40,74469,35.492873,-95.319541,1827,NA,2018
207041,East Central University,OK,40,74820-6999,34.771934,-96.663849,2725,0.8264,2018
207050,Eastern Oklahoma State College,OK,40,74578-4999,34.914079,-95.328995,1160,NA,2018
207069,Redlands Community College,OK,40,73036-5304,35.518475,-97.974592,1103,NA,2018
207087,Enid Beauty College,OK,40,73703-4538,36.393267,-97.927122,33,NA,2018
207102,Eves College of Hairstyling,OK,40,73501,34.604991,-98.402794,88,NA,2018
207157,Randall University,OK,40,73160,35.300757,-97.491107,290,0.505,2018
207209,Langston University,OK,40,73050,35.943982,-97.260317,1922,NA,2018
207236,Murray State College,OK,40,73460,34.222949,-96.677906,1617,NA,2018
207254,Spartan College of Aeronautics and Technology,OK,40,74115,36.176642,-95.878902,979,NA,2018
207263,Northeastern State University,OK,40,74464-2399,35.919939,-94.967229,6332,0.9754,2018
207272,Beauty Technical College Inc,OK,40,74465,35.915551,-94.962015,24,NA,2018
207281,Northern Oklahoma College,OK,40,74653,36.678649,-97.295887,2546,NA,2018
207290,Northeastern Oklahoma A&M College,OK,40,74354,36.877255,-94.867248,1627,NA,2018
207306,Northwestern Oklahoma State University,OK,40,73717-2799,36.796658,-98.667673,1681,0.6239,2018
207315,Oklahoma State University Center for Health Sciences,OK,40,74107-1898,36.137977,-96.005702,NA,NA,2018
207324,Oklahoma Christian University,OK,40,73013,35.611412,-97.469526,1813,0.6476,2018
